,target_city,top1,top2,top3,top4,top5
123,3510708,3544202,3535002,3506904,3541208,3517901
124,3510807,3550209,3518206,3530102,3547502,3553401
125,3510906,3527504,3554607,3555208,3533809,3529658
126,3511003,3535804,3523503,3529906,3508009,3508801
127,3511102,3534708,3523404,3515103,3524709,3531100
128,3511201,3511904,3506409,3548203,3554953,3548104
129,3511300,3545407,3506300,3513900,3550803,3524501
130,3511409,3508702,3547700,3533007,3512308,3535309
131,3511508,3531100,3524709,3551504,3537107,3501707
132,3511607,3511706,3538105,3538204,3553005,3532009
133,3511706,3538204,3511607,3553005,3522901,3538105
134,3511904,3506409,3511201,3548203,3545407,3524501
135,3512001,3552700,3517604,3535408,3508702,3545001
136,3512100,3532306,3502309,3504305,3552908,3505401
137,3512209,3546603,3548005,3502754,3525201,3544004
138,3512308,3545001,3508702,3515400,3511409,3517604
139,3512407,3539103,3515152,3535101,3504602,3502754
140,3512506,3547007,3553856,3524204,3537701,3501806
141,3512605,3554201,3502002,3533205,3512704,3533700
142,3512704,3541109,3533700,3533205,3520707,3541802
143,3512803,3515103,3537107,3524709,3531100,3511102
144,3512902,3503406,3552007,3516606,3500550,3518859
145,3513009,3520509,3545803,3547304,3536505,3556206
146,3513108,3508603,3546306,3518305,3519303,3515186
147,3513207,3519808,3543253,3519253,3533601,3542503
148,3513306,3555208,3554607,3510906,3546256,3529658
149,3513405,3508504,3526704,3531803,3507001,3550605
150,3513504,3545209,3556206,3503901,3556701,3527306
151,3513603,3554300,3508009,3530201,3521705,3511003
152,3513702,3525706,3537909,3500709,3514106,3510005
153,3513801,3552809,3510609,3534401,3548807,3529401
154,3513850,3527256,3547650,3549201,3516507,3531001
155,3513900,3550803,3545407,3514502,3511300,3511904
156,3514007,3504800,3509304,3546900,3500402,3553104
157,3514106,3537909,3520442,3509403,3553302,3535309
158,3514205,3529104,3554755,3507753,3503950,3528858
159,3514304,3555802,3554409,3528601,3526605,3556602
160,3514403,3525102,3540606,3552106,3539509,3554508
161,3514502,3519402,3550803,3506300,3517208,3513900
162,3514601,3556107,3556909,3532009,3510153,3545159
163,3514700,3509106,3552908,3504305,3509809,3525607
164,3514809,3509908,3551801,3530201,3521705,3501004
165,3514908,3556800,3549953,3538105,3556107,3532009
166,3514924,3510104,3501509,3507308,3532702,3520608
167,3514957,3507159,3535903,3528858,3507753,3554755
168,3515004,3519071,3505708,3516309,3556503,3547809
