,target_city,top1,top2,top3,top4,top5
537,3548005,3502754,3512209,3525201,3551603,3504602
538,3548054,3505401,3532306,3528700,3512100,3502309
539,3548104,3554953,3511201,3548203,3533304,3523800
540,3548203,3533254,3506409,3524501,3511201,3511904
541,3548302,3554656,3543105,3500808,3501400,3515608
542,3548401,3520608,3525805,3532702,3554904,3500758
543,3548500,3552502,3552205,3501608,3552403,3543303
544,3548609,3556602,3528601,3554409,3517208,3555802
545,3548708,3552205,3541000,3518701,3552403,3509502
546,3548807,3534401,3510609,3529401,3525003,3513801
547,3548906,3503208,3529005,3502804,3538006,3523909
548,3549003,3501509,3556958,3510104,3514924,3525805
549,3549102,3530805,3522109,3529302,3501905,3527207
550,3549201,3516507,3527256,3537156,3513850,3547650
551,3549250,3543238,3555307,3547205,3546108,3515301
552,3549300,3515657,3547106,3544707,3522158,3540101
553,3549409,3549706,3524808,3506359,3540200,3515186
554,3549508,3534807,3520202,3528106,3554706,3521507
555,3549607,3538303,3507456,3557154,3528700,3545506
556,3549706,3549409,3524808,3506359,3540200,3531308
557,3549805,3525904,3543402,3522208,3520509,3516408
558,3549904,3530607,3506003,3543402,3516200,3525904
559,3549953,3514908,3556800,3556107,3544301,3538105
560,3550001,3504909,3517901,3537206,3517000,3506904
561,3550100,3524105,3536703,3550407,3541604,3541505
562,3550209,3518206,3510807,3530102,3500709,3547502
563,3550308,3518800,3534401,3529401,3547809,3515707
564,3550407,3526209,3524105,3538808,3550100,3541505
565,3550506,3553500,3552908,3502309,3509106,3536604
566,3550605,3528502,3513405,3524006,3508504,3526704
567,3550704,3557105,3527207,3504008,3537602,3508504
568,3550803,3514502,3513900,3519402,3506300,3511300
569,3550902,3527603,3536307,3543006,3528809,3537008
570,3551009,3518701,3541000,3522505,3552403,3501608
571,3551108,3536000,3535200,3543808,3554706,3515202
572,3551207,3530904,3515194,3536257,3507753,3516804
573,3551306,3537156,3528908,3525409,3543600,3532058
574,3551405,3546009,3541901,3508108,3553955,3540804
575,3551504,3511508,3501707,3531100,3503802,3524006
576,3551603,3525201,3512209,3502903,3548005,3534609
577,3551702,3504107,3528502,3550605,3507605,3510500
578,3551801,3509908,3514809,3536604,3517000,3537206
579,3551900,3510302,3505807,3540903,3503604,3534609
580,3552007,3500550,3518107,3505351,3502002,3543501
581,3552106,3539509,3525102,3514403,3500105,3520400
582,3552205,3548500,3543402,3552502,3549805,3548708
583,3552304,3519907,3536604,3517802,3518107,3514700
584,3552403,3501608,3541000,3548500,3518701,3552502
585,3552502,3548500,3543303,3544103,3522208,3516408
586,3552551,3542305,3503505,3501103,3502408,3528205
587,3552601,3525508,3506805,3534757,3539400,3543709
588,3552700,3535408,3545605,3512001,3517604,3556008
589,3552809,3513801,3510609,3534401,3548807,3529401
590,3552908,3509106,3504305,3502309,3514700,3509809
591,3553005,3538204,3532009,3522901,3511706,3511607
592,3553104,3500402,3523800,3546900,3514007,3525854
593,3553203,3546504,3535705,3521150,3523701,3507308
594,3553302,3535309,3533007,3509403,3511409,3520442
595,3553401,3547502,3538907,3556305,3530102,3509403
596,3553500,3550506,3502309,3552908,3509106,3536604
597,3553609,3520426,3529807,3509304,3541901,3546009
598,3553658,3533254,3548104,3533304,3548203,3554953
599,3553708,3540606,3519600,3537305,3514403,3555000
600,3553807,3531407,3536208,3540804,3508108,3517703
601,3553856,3537701,3512506,3547007,3517307,3524204
602,3553906,3505104,3524907,3521606,3500758,3536802
603,3553955,3551405,3540804,3545605,3508108,3550803
604,3554003,3506508,3510500,3504008,3503307,3526704
605,3554102,3526902,3516200,3506003,3524402,3541406
606,3554201,3512605,3533205,3502002,3512704,3533700
607,3554300,3513603,3508009,3511003,3530201,3535804
608,3554409,3514304,3528601,3555802,3548609,3556602
609,3554508,3520400,3515186,3514403,3506607,3513108
610,3554607,3510906,3544400,3544509,3513306,3515905
611,3554656,3548302,3500808,3556958,3543105,3501400
612,3554706,3520202,3549508,3534807,3536000,3543709
613,3554755,3514205,3529104,3503950,3507753,3528858
614,3554805,3530300,3531803,3505302,3507001,3540705
615,3554904,3536802,3500758,3532702,3520608,3548401
616,3554953,3548104,3523800,3511201,3500402,3546900
617,3555000,3553708,3539301,3537305,3524303,3540606
618,3555109,3523305,3529807,3557204,3553609,3509304
619,3555208,3529658,3513306,3510906,3527504,3554607
620,3555307,3547205,3546108,3543238,3549250,3547403
621,3555356,3536109,3534104,3541059,3545100,3507704
622,3555406,3527108,3506102,3522604,3524303,3515509
623,3555505,3508207,3523008,3517109,3508900,3508306
624,3555604,3532504,3537503,3540507,3544905,3554409
625,3555703,3518008,3531001,3536257,3505005,3525409
626,3555802,3514304,3528601,3554409,3556602,3548609
627,3555901,3507209,3532868,3536570,3503356,3515806
628,3556008,3534906,3504404,3517208,3535408,3548609
629,3556107,3532009,3514601,3538105,3514908,3549953
630,3556206,3545209,3513504,3536505,3503901,3547304
631,3556305,3538907,3530102,3553401,3537404,3547502
632,3556354,3503703,3542107,3531209,3538501,3532900
633,3556404,3545308,3544004,3534302,3518602,3546603
634,3556453,3543303,3516408,3544103,3522208,3509601
635,3556503,3516309,3519071,3515004,3522505,3505708
636,3556602,3548609,3528601,3517208,3554409,3555802
637,3556701,3503901,3509007,3527306,3513504,3500600
638,3556800,3514908,3549953,3538105,3556107,3507803
639,3556909,3514601,3510153,3532009,3509957,3556107
640,3556958,3549003,3501509,3510104,3514924,3554656
641,3557006,3545803,3509205,3547304,3536505,3540754
642,3557105,3550704,3504008,3527207,3508504,3554003
643,3557154,3507456,3536901,3506201,3528304,3542800
644,3557204,3555109,3529807,3532900,3504800,3523305
645,3557303,3504602,3535101,3527009,3502754,3548005
